desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
David Amado Fernández,1,24,5,0.0
David Amador,1,542,178,3.77
David Cross,1,88,17,12.55
David Decraene,1,5,6,0.0
David Donarumo,1,21,2,0.0
David Draper Jr,1,90,329,0.0
David Erosa,1,52,18,5.3
David Eshuis,1,13,1,0.0
David Flossdorf,1,87,36,0.48
"David H Schroeder, Eric Ferrot",1,17,7,0.0
"David Hensley, Alex Quick",1,35,3,0.0
David J. Macias,1,4,3,0.0
David Kaleta,1,2090,275,56.98
"David Lawrence, Nico Thomas",1,70,19,3.58
David Lewis,1,44,11,0.48
David Lobser,1,385,27,0.57
David Mccue,1,24,10,0.0
David Mohr Gould,1,288,48,0.0
David Moralejo Sánchez,3,5711,672,24.27
David Mulder,9,697,330,2.2744444444444443
"David Mulder, Tristan Hartz",1,91,28,4.03
"David Nguyen, David Chang",1,13,10,3.68
David OReilly,2,17422,2555,10.700000000000001
David Ogden,1,6,2,0.0
"David Owens, Sky Yoon, Nelson Nava, David Kinns",1,53,15,0.0
"David Schmidthoffer, Mae Livingston",1,88,4,0.0
David Schneider,1,1277,239,1.45
David Stark,1,5706,241,27.18
"David Strachan, Dex Cimino",1,25,9,0.12
David Su,1,170,37,0.0
David Szymanski,7,35164,2464,2.4057142857142857
David Teruel,1,43,39,0.0
David Valentine,1,6,1,0.0
David Vogt,2,21,10,0.0
"David Vogt, The Ludicrous Ones",1,19,3,0.0
David Wehle,2,4728,1529,3.75
David Williamson,1,390,358,3.17
DavidPixel,1,8,0,0.0
Davide Riccitiello,1,7,8,0.0
DavideJ,1,7,0,0.0
Davioware and Quazi,1,353,32,14.35
Davit Andreasyan,1,174,127,1.4
Davit Galoyan,1,4,1,0.0
"Dawdling Dog, ltd.",1,30,13,0.0
Dawei Liu,1,19,19,0.0
Dawid Bujak,1,20,9,0.0
DawnLight Workshop,1,127,51,0.05
Dawnblaze Entertainment,1,298,52,2.22
Dawnwing House,2,45,6,0.0
Day 1 Studios,1,9070,3688,5.98
Day Art's Games,1,15,2,0.0
Daybreak Game Company,5,161905,124292,24.966
Daydream Software,1,2,0,0.13
Daygames,1,45,11,2.5
Daylight Studio,1,59,9,0.0
Daylight Studios,4,2307,1041,5.34
Dayn,1,67,36,0.02
Days of Wonder,5,7185,1795,8.014
DazlogStudio,1,188,39,2.4
Ddraig House Game Studio Ltd.,1,21,1,0.0
DduXan,1,15,2,0.0
DeCoded Production,1,1216,103,0.0
DeGenerals S.A.,1,7346,960,19.82
DeSync Studios,1,48,13,0.0
DeWolfe Studios,1,3,2,0.0
DeXP,3,1132,516,2.893333333333333
Deacrow,1,6,0,0.0
Dead Bug Gaming,1,1,0,0.0
Dead Crow,2,0,10,0.0
Dead Drop Studios LLC,6,405,242,0.8916666666666666
Dead Genre Studios,2,57,15,0.0
Dead Ice Entertainment,1,6,3,0.0
Dead Inside Studio,1,106,9,0.22
"Dead Level, Mitchelson Brooks, Louis McTague, Tony Cuni, Emilio Alban, Mary Ellis, Nicolas Witthoeft, Carly Hasson, Daniel Dabdoub, Dylan Rodrigues, Kaelee Feliciano, Joe Colombo, Elliott Bailey-Wills, Edwin Sanchez",1,10,2,0.0
Dead Mage,3,19124,2581,3.7866666666666666
Dead Shark Triplepunch,1,750,398,6.03
Dead Thread Games,1,3956,671,0.0
Dead Turtle,1,0,1,0.0
DeadEnd,1,6,0,0.0
DeadGrass Games,1,86,77,1.78
DeadToast Entertainment,1,26344,1183,4.92
Deadghost Interactive,1,42,58,4.03
Deadline Games,2,795,322,2.0549999999999997
Deadly Red Cube,1,114,12,1.92
Deadly Serious Media,1,15,1,0.0
DeadlyCrow Games,2,975,310,1.3
Deadpan Games,1,3762,632,16.2
DeanForge,1,79,26,0.38
Dear Done Dead,1,11,1,0.0
Death On Sausage,1,1,1,0.0
DeathMofuMofu,2,251,5,0.04
Deathink,1,93,22,0.12
Deathtrap,2,111,23,0.0
DebonosuWorks Inc.,1,37,6,2.57
Deborah Vellozo,1,11,1,0.0
Deborg Desolation,1,11,2,0.0
Decabry,1,47,10,1.42
Decane,1,103,46,0.13
Decaying Logic,1,172,326,19.78
Decemberborn Interactive,1,313,104,13.7
Decent Machine,1,680,163,3.93
Deceptive Games,2,91,120,1.865
Deceptive Games Ltd.,4,366,106,0.58
"Deceptive Games, Gavin Powell",1,311,242,4.2
Decisive Action Games,1,17,2,0.0
Deck 13,4,739,433,1.495
Deck Nine,3,21399,2875,9.42
"Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)",1,34787,2506,11.13
Deck13,6,15716,5039,8.066666666666666
Deck13 Hamburg,3,1524,834,10.709999999999999
Deconstructeam,2,14087,1633,4.66
Decumanus Games,1,265,38,2.65
Dedbat Studios,1,2,0,0.0
Dede Bayi,1,24,7,0.0
Dedication Games,2,67,22,0.9
Deeber,1,2,1,0.0
Deen Games,1,17,4,0.0
Deep Black Studio,1,24,2,0.0
Deep Blue Games,1,2,0,0.0
Deep Dive Interactive,1,265,18,1.32
Deep Green Games,3,215,21,0.0
Deep Range Studio,1,5,3,0.0
Deep Red Games Ltd.,1,112,160,10.02
Deep Red Limited,1,237,350,2.05
Deep Root Interactive,3,683,194,0.7599999999999999
Deep Shadows,2,312,129,1.5
Deep Silver Fishlabs,1,3352,690,9.42
Deep Silver Volition,2,70549,11346,14.645
"Deep Silver Volition, High Voltage Software",1,7190,2362,6.47
"Deep Silver Volition, Sperasoft",1,2377,1016,10.88
Deep Type Games,1,3298,571,5.6
Deep Voodoo Games,1,36,30,0.0
Deep Water Studio,1,19746,3742,55.1
DeepDimensionGames,1,29,0,0.0
"Deer Captain, ESAT",1,20,7,0.0
Deer Dream Studios,2,1395,117,3.34
DeerFarm,1,178,35,0.18
Deertwig Studio,1,6,3,0.0
"Default Interactive, Broken Dreams, Webb 3D",1,32,1,0.12
Default Software LLC,1,7,3,0.0
Defiant Development,2,14228,2011,8.96
Define Human Studios,1,3387,3302,7.15
Defold Foundation,1,162,24,0.0
Defroids,1,71,81,3.85
Defroids team,1,20,59,4.65
Defrost Games,1,83,19,0.87
Deimos Games,1,234,64,9.67
Deimos Interactive,1,397,202,7.47
Deion Mobile,1,410,56,3.42
Dejavu Games,1,17,6,0.0
Dejima,1,64,10,2.8
"Dejobaan Games, Grey Alien Games",1,177,12,0.45
"Dejobaan Games, LLC",5,1901,787,2.7600000000000002
"Dejobaan Games, LLC, Owlchemy Labs",1,812,282,1.47
"Dejobaan Games, LLC, Popcannibal",1,197,111,0.3
Dekovir Entertainment,1,14118,1834,65.37
"Del Nordlund, Patrick Flattery, Sebastian Scaini",1,43,17,0.0
Del_Player,1,9,4,0.0
Deleted,1,4,0,0.0
Deli Interactive LLC,1,5078,773,5.35
Delmunsoft,1,26,7,0.0
Delphine Software,1,427,120,15.4
Delphinium Interactive,1,23,2,0.0
Delta Arcade,1,28,11,0.0
Delta Video Games,1,25,11,0.0
Delum Studios,1,30,7,0.0
Delusional Games,3,346,554,5.633333333333333
Delve Interactive,2,2469,299,11.0
Demagog Studio,1,1126,261,0.95
Demensa,1,280,14,0.0
Demetrios Glinos,1,2,0,0.0
"Demibug, SUPER PICKLE GAMES",1,1205,264,0.0
Demimonde,1,169,18,1.9
Demo,1,9,1,0.0
Demon Girl,1,146,60,0.17
Demon Sword Games,1,10,29,2.6
DemonVideogames,1,12,9,0.0
Demonixis Games,1,6,9,0.0
Denis Esie,1,72,85,9.27
Denis Galanin (mif2000),2,885,496,3.7
Denis Kazantsev,1,6,0,0.0
Denis Mikheikin,1,4,1,0.0
"Denis, Ry",1,769,106,3.2
Deniz Dzhevatov,1,7,2,0.0
Deniz K.,1,138,14,15.17
Denizen Seven,1,35,34,0.0
Denjor Games,1,3,0,0.0
Denki,1,4283,502,11.58
Denki Gaka,1,4,0,0.0
Dennaton Games,2,166340,6951,17.095
Denneko Yuugi,2,182,57,4.225
"Dennel Cake, LLC.",1,7,0,0.0
"Denny Truong, Andy Schneider",3,1499,14,1.8733333333333333
DenyingProduct,1,13,6,0.0
Departure Interactive,1,288,77,3.03
Deranged Octopus Athletics,1,8,1,0.0
Derek Eduardo Gonçalves,1,13,2,0.0
Derek Golliher,1,23,7,0.0
Derek Tanis,1,4,1,0.0
Deric Ruhl,1,493,46,2.42
Derin,2,12,0,0.0
"Dern Lin, Dergan Lin",1,4,0,0.0
Derpy Dinos,1,55,18,0.13
Desdres,1,4,7,0.0
Desert Beagle Studios,1,84,27,0.0
Desert Fox,3,3015,397,1.8833333333333335
Desert Owl Games LLC,3,1019,366,8.17
Desertkun,1,12592,2769,21.05
Design Imps,1,50,2,1.83
"Designing Digitally, Inc.",1,48,18,0.12
DeskClub Games,1,134,9,5.4
Desktop Daydreams Studios,1,24,9,0.0
Desktop Gaming,1,4,2,0.0
Destined Team,1,230,124,0.37
Destiny.Games,1,25,40,0.0
Destroyer Doggo,1,4,4,0.0
Destructive Creations,4,28128,6187,7.59
Detach Entertainment,1,6711,1080,3.13
Detalion Games S.A.,1,87,55,0.0
Dev Arc,2,59,53,1.99
DevAddict's Chat,1,609,139,0.0
"DevHour Games, LLC",1,8,0,0.0
DevNAri,1,54,29,0.0
DevOrDie Studios,1,12,6,0.0
Devblazer,1,1,0,0.0
Devcats,1,1088,11,3.47
Devdan Games,5,469,330,1.5559999999999998
DeveloperJy,1,25,2,0.0
Devespresso Games,2,801,345,2.7
Devika,1,6,5,3.67
Devil Fish,1,1,6,0.0
"Devil Kitty Games, LLC",1,3,2,0.0
Devil's Cider Games,2,55,4,0.0
Devil's Details,2,30203,2730,8.02
Devil's Dozen Games,2,56,9,1.165
DevilishGames,2,278,105,2.675
Devils Advocate Gaming,1,6,0,0.0
Devin Eastmond,1,3,0,0.0
"Devin Pierre, Alden Mason, Jameson Smith",1,0,1,0.0
Devious Minds,1,31,46,0.0
Devious Oatmeal,1,1,0,0.0
Devious Technologies,1,81,12,0.08
Devm Games,1,183,28,0.28
Devoga,1,202,27,10.65
Devs on a Boat,1,465,329,4.62
"Devster, LLC",1,615,216,1.93
Dexied Games,2,61,59,0.0
Dexmes,1,56,40,1.9
Dexter Manning,2,166,7,0.0
Dexter Studios,2,5,4,0.0
DexterCoding,1,5,18,0.0
Deydrihm,1,31,7,1.12
Deyteris,1,10,2,0.0
Dez,1,375,67,5.32
Dgelioncel,1,2,0,0.0
Dharker Studios,15,2517,880,2.2
Dhause,1,0,3,0.0
DiP Online,2,464,378,0.625
DiPi,1,95,24,5.27
Diagrammet AB,1,128,142,3.08
Dialogue Design,1,258,180,0.63
Diamond Cats Studio,1,9,1,0.0
Diamond Sky Games,1,53,5,0.0
DiamosDev,2,93,160,0.725
Diana Nilsson,1,0,1,0.0
Diatomic Studios,1,5527,871,3.73
Diax Arts,3,168,95,0.0
Diaz Pepper,1,10,0,0.0
Dice7,1,28,26,0.0
Diceroll Studios,1,131,33,0.32
Dicesuki,2,4098,155,5.7
Didactricks,1,26,3,0.0
Die Gute Fabrik,1,66,17,0.7
Die of Death Games,1,4637,996,26.3
Dieclick,1,4,2,0.0
Diego,1,2,0,0.0
"Diego Fernandes Malinowsky, Altanir Aparecida Fernandes Malinowsky",1,4,0,0.0
Diego Ras,1,120,14,0.0
Diego Rodrigues,2,15,7,1.9
Diel Mormac Games,1,21,3,3.83
Dieselmine,9,13641,1752,5.137777777777778
DiezelPower,2,2881,436,3.675
Different Tales,2,952,190,1.15
Difranal Studio,1,3,0,0.0
DigX Studios,1,5608,978,12.75
Digerati Distribution,1,961,447,3.15
DiggerGames,1,8751,9229,2.35
Diggidy.net,2,170,91,2.825
DigiFX Interactive,1,1344,136,4.17
DigiFeather,1,31,7,0.0
DigiLab Interaction,1,74,16,0.0
DigiMight,3,132,68,0.0
DigiPen Europe-Bilbao,3,139,41,0.0
DigiPen Institute of Technology,1,82,6,0.0
DigiTales Interactive,1,2273,198,5.15
Digital Arrow,2,453,383,3.5999999999999996
Digital Awakening,1,32,8,0.0
Digital Bard Games,1,5,1,0.0
Digital Bento,1,44,22,0.0
Digital Berzerk,2,11,3,0.0
Digital Bounce House,1,56,18,4.58
Digital Concepts,1,45,23,3.17
Digital Confectioners,2,29418,4387,10.785
Digital Continue,4,274,311,1.125
Digital Crafter,1,710,133,1.6
"Digital Crafter, Lord Ken Production",1,137,83,3.62
Digital Cybercherries,2,4365,546,4.734999999999999
Digital Dawn Studios,2,442,244,3.75
Digital Dog Games,1,4,6,0.0
Digital Domain,2,60,21,0.0
Digital Dream Labs,2,2,0,0.0
Digital Dreams Entertainment,1,763,56,2.87
Digital Dreams Entertainment LLC,1,580,212,3.75
Digital Eclipse,3,2619,1095,1.8633333333333333
Digital Eel,4,727,309,36.247499999999995
Digital Entertainment,1,37,42,4.55
Digital Extremes,3,565668,83436,74.59333333333333
Digital Furnace Games,1,145,228,2.57
Digital Fusion,1,28,41,0.0
Digital Fusion Inc.,2,162,77,0.085
Digital Gods,1,27,12,0.0
Digital Happiness,3,6479,1961,2.8633333333333333
Digital Leisure Inc.,5,4682,1914,1.264
Digital Lode Immersive Media,1,308,259,3.18
Digital Mantis,1,46,28,6.35
Digital Melody,8,15401,1444,3.3225000000000002
"Digital Melody, Wastelands Interactive",1,2,0,0.0
Digital Monster Collective,1,3,2,0.0
Digital Mosaic Games,1,403,68,0.0
Digital Mosaik,1,0,1,0.0
Digital Myths,1,27,4,0.0
Digital Reality,6,2145,414,0.8316666666666666
Digital Reality Software & Playbox,1,519,113,5.68
"Digital Reality, Grasshopper Manufacture, Gyroscope Games",1,415,219,2.2
"Digital Reality, Gyroscope Games",1,515,76,26.35
Digital Software,1,3,2,0.0
Digital Soul Games,1,23,14,0.18
Digital Sun,1,16395,3518,10.98
Digital Sushi,1,4,0,0.0
Digital Tentacle,1,1862,233,2.82
"Digital Tome, General Arcade, Steffen Nyeland",1,233,36,8.8
Digital Universe,1,121,65,0.0
"Digital Yogurt, Ghost Street Games LLC",1,26,1,0.0
Digital Zoo,1,44,9,0.0
DigitalDNA Games,2,8759,2114,2.6300000000000003
DigitalDNA Games LLC,1,220,86,0.7
DigitalDream,2,435,166,0.25
Digitality Games,1,94,48,0.0
Digitality Studios,1,83,16,0.0
Digitalmindsoft,4,63653,10139,122.6625
Digitalzone,1,7,4,0.0
"Digits Crossed Interactive, LLC",1,180,92,0.67
Digixart,2,19701,1768,3.64
Dikobraz Games,1,26,76,0.37
DillyFrame,8,144,38,0.0
Dilmer Valecillos,1,28,3,0.0
"Dim Bulb Games, Serenity Forge",2,1271,391,1.29
Dim Sum One,1,21,7,0.0
"Dima Zangana, Outback Studios",1,13,9,0.0
Dimension 32 Entertainment,1,10341,3115,16.38
Dimensional Ink Games,1,16923,4093,51.27
Diminished Studios,1,2804,1833,7.98
Dimitri Lozovoy,1,26,9,0.0
Dimitrios Gkaltsidis,1,1,0,0.0
DimleTeam,3,144,92,1.7066666666666668
DimnHouse,1,272,77,7.42
Dimpiks,1,16,18,0.0
"Dimps Corporation, SAFARI GAMES Co., Ltd.",1,1476,296,22.48
"Dinamic Games, Imperivm World",1,742,356,4.58
Dingaling Productions,1,13949,644,9.08
Dingo Games,4,1650,201,7.295
Dingxiang Cyber LLC,1,9,11,0.0
Dininho,2,84,6,0.0
DinjaStudios,1,22,6,0.0
Dinosaur Games,1,1498,210,0.78
Dinosaur Polo Club,2,35679,1425,13.025
Dio Alias Games,1,55,41,1.95
"Dio Alias Games, Evgeny Osmet",1,139,69,0.35
Dionic Software,2,3032,749,9.7
Dipl. Ing. Rolf-Dieter Klein,1,68,11,0.0
Dird Games,1,1175,141,11.32
Dire Boar Games,1,5,4,0.0
Dire Wolf,5,11181,2601,22.204
DirectDoggo,1,1940,14,0.03
Directive Games Limited,1,309,214,0.68
Dirty Pixel Art,1,3,2,0.0
Disafter Games,1,237,19,0.0
Disastercake,1,12,37,0.0
Disbanded Crow,1,3,0,0.0
Dischan Media,4,1348,318,1.24
Disco Dog,1,44,4,0.0
Discovr Labs,1,37,23,0.0
Discrete Tense,1,6,4,0.0
Disillusion Dev,1,614,31,2.18
Disney Interactive,2,797,99,1.69
Disney Interactive Studios,1,55,37,0.75
Disoft Game Developers,1,22,8,0.0
Disparity Games,1,261,63,2.92
Displace Media,1,2,8,0.0
Displacement Studios,4,63,74,1.835
Disquire,1,473,131,0.0
Dissension Games,1,10,12,0.0
DissertationGames,1,1,0,0.0
Distalsoft,1,11,2,0.0
Distant Alliance,1,81,27,8.88
DistrictWare inc.,1,389,182,0.88
Disturbing Excitement,1,140,99,0.5
"Divergent Realities, LLC",1,775,97,1.38
Divilusion Studio,2,75,48,0.0
Divine Games,1,6185,917,84.4
Djamp Games,1,3,1,0.0
Dlala Studios,2,1487,713,2.46
Dmitri Lowell,1,6,1,0.0
Dmitrii Lomakin,1,100,19,1.55
Dmitriy Mamaev,1,30,2,0.0
"Dmitriy Uvarov, Vyacheslav Shilikhin",1,61,49,0.0
Dmitry,1,5,1,0.0
Dmitry Azarov,1,27,16,0.0
Dmitry Kozlov,1,103,17,0.0
Dmitry Medvedev,1,283,156,0.85
Dmitry Zheltobriukhov,1,459,25,8.03
"Dmytro Makarenko, Stanislav Marchevskyi",1,54,24,0.0
Dmytry Lavrov,1,358,136,0.42
"Dmytry Lavrov, Alexey Lavrov",1,122,27,0.63
DnS Development,4,603,842,1.9975
Dnovel,16,470,169,0.35125
"Dnovel, FreeAnimals_Software",6,115,38,0.0
Do Games Limited,14,181,74,0.0
Dobest Studio,1,4,0,0.0
Doble Punch Games,2,605,185,1.15
Doborog Games,2,34746,1420,10.535
Doby Digital,1,21,4,0.0
DocksonWedge,1,7,2,0.0
Doctor Entertainment AB,2,6681,2169,1.9000000000000001
Dodge Roll,2,82258,4013,20.080000000000002
"Dodge Roll, Singlecore",1,2655,870,4.97
Dodo Digital,2,64,29,0.0
Dog Theory,1,43,9,5.33
"Dogan Oral, Dodigamestudios",1,38,34,0.0
Dogenzaka Lab,7,1037,391,3.894285714285714
Dogless Head Games,1,10,2,0.0
Dogsnake Games,1,1,0,0.0
Dogwood Gaming,3,19,2,0.0
Dohi Sweden AB,1,516,141,122.18
Dojin Otome,2,21047,1704,6.54
Dojo Games,1,460,259,8.42
Dolores Entertainment,2,94,152,0.65
DolphinBarn,1,537,114,0.42
Domarius Games,1,17,1,0.0
Domas Sabockis,1,99,108,6.62
Domini Games,6,78,16,0.0
Dominik Michalke,1,0,3,0.0
Dominique Grieshofer,2,18189,791,60.61
Domo Games,2,220,49,0.0
Domuro Soft,1,57,20,1.45
Domus ludus,1,4,2,0.0
Don Whitaker,1,42,13,0.03
Don't Bite Devs,1,12,3,0.0
Donbass Games,2,61,119,0.235
DonislawDev,1,99,14,0.0
Donkey Crew,1,14952,9133,63.5
Donley Time Foundation,1,5,6,0.0
Doodad Games,1,13,0,0.0
"Doodad Games, Ethan Close",1,55,6,0.0
Doom Turtle,1,5814,375,18.55
Doomster Entertainment,5,1105,254,2.284
"Doonamai, LLC",1,12,1,0.0
Door 407,1,8217,1456,16.98
Door Z Studio,1,81,22,0.0
Dopamine Games,1,11,0,0.0
Doppler Interactive,1,83,56,0.07
DopplerFrog,1,189,35,39.4
Dopterra,1,205,23,11.02
Dorado Games,1,4033,1224,146.45
Doragon Entertainment,2,621,64,2.075
DoriTeam,1,41,31,0.0
Dorian LE THAI BINH,1,19,11,0.0
DorsalFin Studio,1,46,16,0.0
Dosane Games,3,513,182,2.3133333333333335
DoshMallow Games,1,63,21,4.28
Dot 4 Joy,1,132,6,0.0
Dot Dream,1,14,7,0.0
DotEmu,1,143,86,2.8
Dotemu,8,25160,6079,5.835
"Dotemu, Guard Crush, Lizardcube",1,16617,1298,15.28
Dotomchi Games Inc.,2,78,30,0.0
Dotoyou Games,1,132,29,0.0
"Double Action Factory, Jorge Rodriguez",1,10555,788,2.28
Double Coconut,1,464,494,125.6
Double Damage Games,2,7528,1565,11.775
Double Dash Studios,1,159,8,0.0
Double Dice Games,1,220,78,7.73
Double Door Games,1,198,71,0.0
Double Eleven,1,214,121,4.18
"Double Eleven, Q-Games Ltd.",2,1520,300,4.574999999999999
Double Fine Productions,14,67562,9893,5.901428571428572
"Double Fine Productions, React Games",1,511,78,2.05
"Double Fine Productions, Shiny Shoe",3,14414,1135,4.126666666666666
Double Helix Games,2,2351,2236,4.0600000000000005
"Double Helix Games, Capcom",1,3239,789,3.65
Double Peach Productions,3,42,23,0.0
Double Robot,1,18,7,0.0
Double Stallion,2,440,95,2.27
Double Trouble Games,1,2,0,0.0
Double W,5,15026,2006,2.4539999999999997
DoubleBear Productions,1,1840,670,14.63
DoubleCherry Ltd,1,49,18,0.0
DoubleDutch Games,1,34525,2215,10.67
DoubleMoose Games,2,3233,714,3.02
DoubleThink Studio,1,1414,2569,6.92
Doublehit Games,1,313,62,0.0
Doubles Core,1,336,8,3.63
Doublesix Games,1,60,20,1.7
Doubleton Game Studio,1,4,1,0.0
Douglas Henrique Luciano,1,8,0,0.0
Douglas Liang,1,5,4,0.0
Douze Dixièmes,1,2549,147,3.85
Dovetail Games,9,34452,12216,20.63666666666667
Dovii Games,1,4,1,0.0
Dowino,1,235,72,1.07
Downpour Interactive,1,6329,2886,11.58
Downtown Blast,1,11,1,0.0
Dowrick Games,1,6,1,0.0
Doyodo,2,332,51,0.375
Dr. Cyril Splutterworth,5,231,27,3.024
Dr. Jamgo,1,1,1,0.0
Dr. Kucho! Games,1,126,15,0.0
Dr. Puzzler,2,50,5,0.0
Dr.Liao,1,163,12,0.0
Draconia Dev Team,1,586,275,2.02
Dracue Software,1,145,88,0.12
"Dracue, Co. ltd",1,148,67,2.1
Dracul Aurion,1,9,0,0.0
Dracula Bytes,1,261,52,4.63
Dracula's Cave,2,50,30,3.24
Drageus Games S.A.,2,13,1,0.0
"Drageus Games S.A., Qubic Games",1,4,2,0.0
Drago Entertainment,1,280,405,0.77
Drago Software,1,51,26,1.13
Dragom,1,17,18,0.47
Dragon Emperors,1,55,5,0.0
"Dragon Emperors, Great Conspiracy Theory",2,38,7,0.0
Dragon Foundry,1,115,46,2.77
Dragon Landing,1,24,8,0.0
Dragon Paint Games,1,5,0,0.0
Dragon Slumber,4,516,176,0.7175
"Dragon Slumber, Brainoid",1,18,9,0.0
Dragon Snack Developer,1,1,0,0.0
Dragon Whisper Game,1,180,45,4.97
Dragon Wing Studio,1,185,46,0.0
Dragon's Games,2,165,44,4.665
DragonSnow,1,14935,2269,5.33
Dragonflare Studios,1,12,8,0.0
Dragonfly,1,1547,411,7.45
"Dragonfly GF Co., LTD",1,8049,3267,10.75
Dragons,1,354,269,5.72
Dragons Eye Studio,1,27,23,0.0
"Dragons Eye Studio, Blazingfall",1,1,3,0.0
Dragonside Studios,1,1,0,0.0
Dragoon Entertainment Ltd.,1,2,2,0.0
Dragos Pusca,1,11,9,0.0
Drahgoone,1,133,89,0.0
Drailton Lima de Andrade,1,1,1,0.0
Drakhar Studio,2,82,80,3.36
Drakhar Studios,1,24,7,0.0
Drakkar Dev,2,300,101,3.0949999999999998
Draknek & Friends,1,1321,65,13.37
Dranya Studio,1,96,14,0.18
DrashVR LLC,1,179,12,0.0
Draw Distance,4,6554,1658,2.3724999999999996
Draw Me A Pixel,2,29714,738,3.29
DreaMory,1,995,81,10.85
Dread Hunger Team,1,27859,18326,147.98
"DreadXP, David Szymanski, Christopher Yabsley, KIRA, Philisophic Games, Dan McGrath, TorpleDook, Abbey 'Scruncho' Smith, Vidas Salavejus, Redact Games, Wayward Preacher, Mr. Pink, Aaron Wise",1,388,41,6.48
"DreadXP, David Szymanski, Torple Dook, Lovely Hellplace, Scythe Dev Team, Secret Cow Level, panstasz, Mahelyk, Daniel Mullins Games, Wither Studios, Akabaka, Vidas Salavejus, Wayward Preacher, John Szymanski, Bathysfear Labs",1,350,13,3.47
"DreadXP, Torple Dook, Adam Pype & Viktor Kraus, KIRA, corpsepile, Breogan Hackett, Redact Games, Modus Interactive, Basalt Tower, Blood Machine, Bryce Bucher, DIRIGO GAMES, Moya Horror, Wayward Preacher, Amon26",1,355,30,5.43
Dreadbit,2,1115,371,5.88
Dreadlocks Ltd.,1,2972,446,5.23
"Dreadlocks Mobile, Silicon Jelly",1,270,54,2.72
Dream Compass,1,373,13,0.0
Dream Darker Entertainment,1,4,4,0.0
Dream Execution,1,649,443,7.53
Dream Games,1,0,1,0.0
"Dream Holdings, TAKAGISM Inc.",1,39,28,0.0
Dream Module Games,1,12,3,0.0
Dream Nerdy,1,23,13,0.0
Dream Nyght Studio,1,11,0,0.0
"Dream Operator, Oksana Bula",1,3744,97,0.0
Dream Reactor,1,1015,351,3.9
Dream Universe Games LLC,1,12,2,0.0
Dream Up,1,16,37,0.0
Dream Within,2,37,40,0.71
Dream Works,1,3155,894,9.68
Dream of Omnimaga,1,15,9,0.0
DreamDale,1,17,3,0.0
DreamEscape,1,329,170,1.48
DreamForge Intertainment,1,47,9,0.0
DreamGate,1,265,89,7.43
DreamPunks,1,878,554,0.3
DreamRoad Productions,1,11,5,0.0
DreamSail Games,1,69,27,0.23
DreamSmith Studio,1,102,9,0.63
DreamStep,1,666,164,1.67
DreamStorm Studios,1,133,141,1.17
DreamTeam Mobile,1,42,14,0.0
DreamTeamGames,1,121,114,2.88
DreamTree Studio Sdn. Bhd.,1,28,8,0.0
Dreamatrix,4,76,120,0.2425
Dreambakers,1,30,44,0.0
Dreambox,1,18,11,5.53
Dreambyte Games,1,5811,590,7.57
Dreamcatcher Studio,1,27,21,0.0
Dreamers Studio,1,94,15,0.0
Dreaming Door Studios,1,771,29,2.77
Dreamirl,1,251,63,0.0
Dreamlab XR,1,288,287,2.03
DreamlessHero,2,4,3,0.0
Dreamlike,2,48,16,0.0
Dreamloop Games,1,212,14,1.67
Dreamlords Digital Inc.,1,20,14,0.0
Dreampainters,1,975,620,2.63
Dreamplant,1,581,168,1.67
Dreamreason,1,13,0,0.0
DreamsSoftGames,6,169,204,6.263333333333333
Dreamseeker,1,3,2,0.0
Dreamsite Games,2,10422,2322,29.55
Dreamteck,1,373,27,11.15
Dreamwalker Games,1,10,20,2.67
Dreamworlds,2,2139,241,1.575
Dreamy Doe,1,8,2,0.0
Dreamz Studio,2,183,97,0.35
Drew J. Stivers,1,2,1,0.0
Drew Radley,1,7,3,2.52
Drift Physics Crew,2,1820,450,31.59
Drifter®,1,248,81,0.0
Drillimation Systems,1,8,0,0.0
Drimway Studios,1,3,1,0.0
Drinkbox Studios,5,21088,1815,12.132000000000001
"DrinkingNails, LLC",2,61,3,2.385
Driven Arts,1,993,949,8.12
Driving Force Games,1,258,37,3.88
Drix Studios,1,58,43,0.0
Drixxel Soft,2,92,18,0.785
Drixy Games,1,419,199,4.07
Droid Riot,3,45,36,0.0
"Droid Riot, Mahich",1,31,13,0.0
Dromedary Games,1,1,0,0.0
Dronami,1,20,5,0.0
"Drone Champions AG, Climax Studios",1,757,211,5.9
Droog71,1,36,79,2.2
Drool,1,3867,346,3.28
Drop_Dead_Fred (Фред),1,42,63,0.02
Drowning Monkeys Games,2,75,57,3.5
Drowsy Whale,1,11,2,0.0
Drunk Bunny Games,1,22,2,0.0
"Drunk Robot Games, Effinvance",1,11,4,4.03
Dry Cactus,2,23462,1876,6.57
Dry Duck LLC,1,2,2,0.0
DryGin Studios,1,2058,249,6.12
Dtmss,1,10,3,0.0
DuCats Games Studio,3,427,117,1.6600000000000001
Duaik Entretenimento,2,114,11,0.76
"Dual Effect, Abstract Digital",1,5544,545,4.13
Dual Heights Software,1,32,4,1.23
Dual Perception Games,1,9,4,0.0
Duality Games,2,3875,771,6.985
"Duality Games, Glob Games Studio",2,1749,601,2.405
Duang,1,38,29,4.15
"Duang! Games, LLC",1,97,45,0.02
