data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
2008-11-17,1,774,61894,9.99
2008-11-18,2,449,51099,12.489999999999998
2008-11-21,4,87,16515,7.737500000000001
2008-11-25,1,3,456,9.99
2008-12-01,1,2,2584,5.99
2008-12-05,1,2,436,0.0
2008-12-08,1,55,5142,9.99
2008-12-10,1,12,3484,1.99
2008-12-12,1,0,190,9.99
2008-12-15,2,2,1616,9.99
2008-12-18,3,3,2064,5.326666666666667
2008-12-19,4,654,92506,17.4925
2009-01-07,2,96,21259,4.995
2009-01-08,1,362,15012,19.88
2009-01-09,1,43,27660,19.99
2009-01-14,1,43,37652,6.99
2009-01-22,1,0,27,9.99
2009-01-23,3,54,3531,10.99
2009-01-28,1,1,50,0.99
2009-01-29,1,0,55,19.99
2009-02-04,2,60,4288,12.49
2009-02-06,1,1,1089,0.0
2009-02-10,1,3,372,0.0
2009-02-11,1,0,346,6.99
2009-02-12,1,41,8549,14.99
2009-02-13,4,16,3792,4.995
2009-02-18,2,152,12818,27.490000000000002
2009-02-23,2,0,329,12.489999999999998
2009-02-24,1,0,332,9.99
2009-02-25,1,13,977,9.99
2009-02-27,1,0,208,0.67
2009-03-04,2,2033,36260,14.989999999999998
2009-03-05,1,19,4055,0.0
2009-03-06,1,5,3783,9.99
2009-03-09,4,7,1888,6.2425
2009-03-12,1,16,13386,0.0
2009-03-18,1,1,969,9.99
2009-03-19,5,1,5840,5.992
2009-03-20,1,8,788,9.99
2009-03-23,1,1,346,3.74
2009-03-24,1,36,2829,9.99
2009-03-26,1,3,1155,7.99
2009-04-02,2,0,1338,14.989999999999998
2009-04-07,2,2,417,2.495
2009-04-08,1,45,2311,19.99
2009-04-09,1,26,4070,0.0
2009-04-10,1,5,9761,14.99
2009-04-14,1,0,899,5.99
2009-04-15,2,27,396,2.99
2009-04-21,1,12,3045,9.99
2009-04-22,1,0,40,29.99
2009-04-27,1,2,315,14.99
2009-04-29,1,0,105,9.99
2009-04-30,3,149,8938,4.49
2009-05-01,2,103,5807,6.49
2009-05-05,1,2656,139925,4.99
2009-05-06,5,28,5230,8.34
2009-05-13,1,7,2558,0.0
2009-05-14,1,224,67472,19.99
2009-05-15,1,0,42,19.99
2009-05-20,1,0,1735,4.99
2009-05-22,1,1,456,0.0
2009-05-26,1,0,214,5.99
2009-05-27,5,62,9939,4.090000000000001
2009-05-29,2,2,811,4.99
2009-06-04,1,0,45,14.99
2009-06-10,1,223,12357,19.99
2009-06-16,6,1804,77984,6.623333333333334
2009-06-17,1,1,2459,0.0
2009-06-18,13,30,3978,9.106153846153846
2009-06-22,1,13,3506,9.99
2009-06-23,2,139,7662,2.495
2009-06-24,1,19,4644,9.99
2009-06-29,1,0,2117,12.99
2009-07-01,2,0,774,2.495
2009-07-02,2,35,19890,12.49
2009-07-06,1,1,199,0.0
2009-07-07,3,0,1600,2.91
2009-07-08,10,433,78667,7.94
2009-07-09,1,13,250,9.99
2009-07-13,2,20,212,9.99
2009-07-15,1,16,5799,9.99
2009-07-16,1,21,3796,7.99
2009-07-17,12,30,1155,7.283333333333334
2009-07-20,3,7,15326,6.19
2009-07-23,4,19,2207,14.99
2009-07-26,1,15,910,6.99
2009-07-27,1,5,54,4.99
2009-07-28,2,5,2803,9.99
2009-07-29,2,1,477,7.49
2009-07-30,1,0,384,0.99
2009-07-31,1,4,190,9.99
2009-08-04,1,0,316,3.99
2009-08-05,1,4,2780,9.99
2009-08-06,4,5,3163,2.9925
2009-08-07,2,50,6478,8.49
2009-08-12,6,26,958,8.325000000000001
2009-08-17,2,0,16,9.99
2009-08-18,1,3,1376,9.99
2009-08-19,3,150,18489,9.323333333333332
2009-08-20,1,0,159,3.74
2009-08-24,2,17,107,14.989999999999998
2009-08-25,1,0,689,4.99
2009-08-27,2,27,7576,7.49
2009-08-28,1,0,178,4.99
2009-09-03,3,3,3545,6.996666666666667
2009-09-04,1,1,568,2.49
2009-09-05,1,424,31738,9.99
2009-09-08,1,10,4534,9.99
2009-09-15,3,776,59569,14.99
2009-09-16,6,203,24294,6.656666666666666
2009-09-17,5,20,2673,8.190000000000001
2009-09-23,1,1,234,4.99
2009-09-25,1,0,1120,2.99
2009-09-29,2,8,439,12.239999999999998
2009-09-30,1,0,25,9.99
2009-10-01,1,0,171,3.99
2009-10-02,1,49,9840,14.99
2009-10-06,5,311,16492,3.976
2009-10-07,1,0,65,5.99
2009-10-08,1,0,45,9.99
2009-10-10,8,49,2049,8.6775
2009-10-14,2,0,928,3.99
2009-10-15,1,1,436,9.99
2009-10-16,1,125,17244,19.99
2009-10-20,2,5,1885,5.29
2009-10-21,2,9,2014,7.49
2009-10-22,1,0,140,2.49
2009-10-27,2,41,7553,12.49
2009-10-28,2,2,2135,1.495
2009-10-29,4,21,2075,9.365
2009-10-30,1,2,161,3.74
2009-11-01,1,10,826,4.99
2009-11-03,1,118,2656,9.99
2009-11-04,6,7,942,10.491666666666667
2009-11-05,3,7,10780,11.659999999999998
2009-11-11,2,400,58277,14.989999999999998
2009-11-12,4,379,32590,9.99
2009-11-13,2,622,13569,19.88
2009-11-16,2,25123,964831,12.49
2009-11-17,1,0,27,0.59
2009-11-18,2,5,1160,7.99
2009-11-19,2,47,1591,4.995
2009-11-24,2,47,8796,8.74
2009-11-25,1,0,616,5.99
2009-12-01,1,1,1509,1.99
2009-12-02,3,181,13572,10.656666666666666
2009-12-03,2,1,262,5.29
2009-12-04,1,3,1907,0.0
2009-12-10,1,3,2432,4.99
2009-12-11,1,0,1352,3.99
2009-12-15,2,197,12126,14.989999999999998
2009-12-17,4,321,51025,10.99
2009-12-22,1,9,2302,0.0
2009-12-23,1,7,1192,0.99
2010-01-08,1,5,704,9.99
2010-01-12,1,0,876,4.99
2010-01-13,1,0,329,4.99
2010-01-15,1,7,2638,4.99
2010-01-19,1,1,639,0.0
2010-01-22,2,0,221,6.49
2010-01-26,1,8,15543,0.0
2010-01-27,1,0,290,7.99
2010-01-28,1,3,2111,0.69
2010-02-03,2,6,1965,4.99
2010-02-09,1,23,14419,19.99
2010-02-11,2,143,31367,9.995
2010-02-12,1,13,5957,0.0
2010-02-15,4,25,454,6.24
2010-02-16,1,49,19953,14.99
2010-02-17,1,4,238,0.0
2010-02-18,2,15,1889,12.489999999999998
2010-02-19,1,2,629,6.99
2010-02-20,1,13,57,9.99
2010-02-22,2,1,95,8.49
2010-02-23,1,36,375,9.99
2010-02-25,1,929,25365,24.99
2010-03-01,1,182,12431,12.99
2010-03-02,4,30,38449,3.2425
2010-03-03,1,23,3154,9.99
2010-03-09,1,188,54646,19.99
2010-03-10,1,30,3351,0.0
2010-03-15,2,2,1724,0.995
2010-03-16,1,8,4546,19.88
2010-03-17,1,0,707,4.99
2010-03-23,1,90,50739,1.49
2010-03-26,1,601,73651,19.99
2010-03-31,1,3055,166405,19.99
2010-04-05,1,0,291,0.0
2010-04-08,1,0,2190,9.99
2010-04-12,2,0,10471,0.0
2010-04-14,1,1,934,0.99
2010-04-15,1,4,7379,9.99
2010-04-19,1,0,184,9.99
2010-04-20,4,0,1121,3.1775
2010-04-21,10,14,1097,8.07
2010-04-23,1,0,194,0.99
2010-04-28,3,0,922,10.323333333333332
2010-04-29,1,1,4440,9.99
2010-05-06,2,4,120,6.99
2010-05-12,2,0,307,2.495
2010-05-21,1,87,16936,9.99
2010-05-25,1,2818,39435,19.99
2010-05-28,2,2,444,4.99
2010-06-01,9,32,16810,1.4877777777777779
2010-06-03,2,2,1982,5.91
2010-06-04,1,20,677,9.99
2010-06-07,3,0,1653,5.823333333333333
2010-06-08,1,5,2535,1.99
2010-06-14,1,0,432,0.99
2010-06-21,1,0,488,9.99
2010-06-24,3,21,9191,9.323333333333332
