data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
2012-11-07,2,4,2998,10.99
2012-11-08,1,1,582,0.0
2012-11-09,4,2,2133,5.640000000000001
2012-11-12,2,240,56284,34.99
2012-11-15,1,0,432,0.0
2012-11-16,1,157,1727,4.49
2012-11-19,4,909,105812,16.24
2012-11-20,2,510,87850,0.0
2012-11-27,2,166,38888,11.489999999999998
2012-11-28,10,29,15285,6.615
2012-11-30,1,3,943,19.99
2012-12-03,1,0,371,0.79
2012-12-04,1,488,114019,19.99
2012-12-05,2,6,3750,14.989999999999998
2012-12-06,5,580,8905,4.794
2012-12-07,1,1,2416,2.99
2012-12-10,1,1,331,19.99
2012-12-11,1,4,1984,0.99
2012-12-12,1,0,319,3.99
2012-12-13,4,461,4926,5.2425
2012-12-17,1,2,1914,0.0
2012-12-18,1,11,2285,0.0
2012-12-19,1,0,94,4.99
2012-12-21,1,46,3474,3.74
2013-01-07,1,0,152,4.61
2013-01-08,1,0,308,4.99
2013-01-09,2,0,1657,8.49
2013-01-10,1,6,499,9.99
2013-01-15,1,2,2303,4.99
2013-01-16,1,378,16398,19.99
2013-01-23,2,6,4465,17.49
2013-01-24,1,107,29984,29.99
2013-01-25,1,1,5206,0.0
2013-01-30,1,2,2741,4.99
2013-01-31,3,23,19633,11.659999999999998
2013-02-06,2,9,1906,9.99
2013-02-12,1,431,23618,0.0
2013-02-14,2,1,3184,17.49
2013-02-18,3,4,2296,9.573333333333332
2013-02-19,1,0,64,1.99
2013-02-21,1,2,1527,9.99
2013-02-22,3,47,11203,6.66
2013-02-25,1,0,841,0.0
2013-02-26,3,38,22153,10.823333333333332
2013-02-27,3,164,17882,6.663333333333333
2013-02-28,2,7,4709,8.99
2013-03-04,1,556,247930,14.99
2013-03-07,1,1,209,1.99
2013-03-08,1,3,7291,0.99
2013-03-11,1,25,17916,9.99
2013-03-13,1,1,386,0.0
2013-03-14,2,0,650,1.99
2013-03-18,4,1,8213,8.24
2013-03-19,3,142,13781,7.489999999999999
2013-03-20,2,0,620,6.24
2013-03-21,1,7,2302,19.99
2013-03-22,2,515,55079,9.995
2013-03-25,2,36496,767185,14.995
2013-03-28,2,1,1301,11.489999999999998
2013-04-01,1,3,2779,0.0
2013-04-02,1,11,2483,19.99
2013-04-03,1,1,317,9.99
2013-04-04,2,3,7806,9.99
2013-04-05,2,0,2267,7.495
2013-04-08,1,0,229,7.99
2013-04-09,1,2278,101351,19.99
2013-04-10,1,5,854,4.99
2013-04-12,1,0,1595,9.99
2013-04-15,1,19,2475,14.99
2013-04-16,3,3,30185,5.656666666666666
2013-04-18,1,0,2836,14.99
2013-04-19,4,54,22107,12.9925
2013-04-24,2,6,10245,9.99
2013-04-25,2,406,75999,0.495
2013-04-26,3,40,11570,11.659999999999998
2013-04-29,2,4,4559,1.9900000000000002
2013-04-30,3,2,2354,8.99
2013-05-01,3,62,36480,8.326666666666666
2013-05-02,1,0,3,0.0
2013-05-09,1,0,1553,4.99
2013-05-10,1,18,7611,9.99
2013-05-13,1,1,159,9.99
2013-05-14,1,13,288,12.99
2013-05-15,3,16,16097,13.323333333333332
2013-05-16,1,4,5839,1.99
2013-05-17,2,0,920,7.49
2013-05-20,1,101,15205,4.99
2013-05-22,3,162,53199,11.656666666666666
2013-05-23,1,0,324,4.99
2013-05-24,4,8,20659,9.005
2013-05-28,1,10,3176,1.99
2013-05-29,2,13,4888,12.489999999999998
2013-05-30,3,11,9019,12.656666666666666
2013-06-03,2,28,29190,19.99
2013-06-05,1,2,1042,9.99
2013-06-06,1,18,21679,3.99
2013-06-07,1,0,661,0.99
2013-06-10,1,0,82,0.0
2013-06-18,2,9,5048,12.49
2013-06-20,3,46,8691,7.323333333333333
2013-06-21,2,0,353,5.74
2013-06-24,3,2331,110429,16.656666666666666
2013-06-26,2,16,4750,0.0
2013-06-27,3,36,19073,8.326666666666666
2013-06-28,1,0,71,9.99
2013-07-01,1,0,334,9.99
2013-07-02,1,1,7864,9.99
2013-07-03,3,0,5196,4.993333333333333
2013-07-04,2,388,28624,10.99
2013-07-08,1,8,3452,9.99
2013-07-11,2,3,1182,12.49
2013-07-23,1,1,1319,19.99
2013-07-24,1,2,2869,12.99
2013-07-25,2,31,13868,8.24
2013-07-29,3,3,2847,7.323333333333333
2013-07-31,1,1,2481,14.99
2013-08-02,2,636,37415,0.0
2013-08-06,2,5,3562,20.64
2013-08-08,3,479,96430,13.323333333333332
2013-08-09,1,0,1170,14.99
2013-08-12,1,5,6435,9.99
2013-08-13,3,39720,804899,21.240000000000002
2013-08-15,4,50484,780149,4.995
2013-08-19,3,133,89516,13.656666666666666
2013-08-20,2,45,21725,12.489999999999998
2013-08-22,1,112,40853,24.99
2013-08-23,1,0,3296,7.99
2013-08-26,2,22,4945,17.49
2013-08-27,3,41,10275,14.99
2013-08-28,3,1,4534,5.993333333333333
2013-08-29,4,160,39978,5.4925
2013-09-02,1,3901,88173,59.99
2013-09-03,2,80,51038,10.49
2013-09-04,3,231,130181,14.99
2013-09-05,1,18,2581,0.0
2013-09-06,1,0,438,1.99
2013-09-10,5,59,13098,11.989999999999998
2013-09-12,3,7181,284617,18.656666666666666
2013-09-13,4,32,14793,7.2425
2013-09-16,1,0,463,6.99
2013-09-18,6,1,4068,11.158333333333333
2013-09-19,1,1,797,14.99
2013-09-20,6,2,7694,4.425
2013-09-24,4,26,14754,7.865
2013-09-26,5,23,28333,7.5120000000000005
2013-09-27,8,197,8049,6.51625
2013-10-01,3,2,2582,8.656666666666666
2013-10-02,2,10,1338,12.49
2013-10-03,1,0,190,0.97
2013-10-04,4,104,10532,3.115
2013-10-07,1,0,226,19.99
2013-10-08,4,13,10718,5.3025
2013-10-09,2,23,5945,9.99
2013-10-10,1,4,934,6.99
2013-10-11,4,119,41674,10.1775
2013-10-14,4,59,12697,8.9925
2013-10-15,2,1,1344,10.99
2013-10-16,4,7,6989,8.74
2013-10-17,8,182,58002,10.615
2013-10-18,6,3,4856,4.676666666666667
2013-10-21,4,854,32386,5.115
2013-10-22,2,302,26679,14.989999999999998
2013-10-23,1,4694,235091,0.0
2013-10-24,10,660,85975,11.834999999999999
2013-10-25,6,236,50589,8.59
2013-10-28,2,5,9648,10.989999999999998
2013-10-29,7,35,11500,7.741428571428571
2013-10-30,2,4,2885,9.49
2013-10-31,3,560,80667,4.996666666666667
2013-11-01,3,3,2151,5.573333333333333
2013-11-04,5,29,6605,6.802
2013-11-05,10,22,25204,2.467
2013-11-06,5,611,3629,4.992
2013-11-07,4,14,5933,10.49
2013-11-08,4,22905,413970,9.74
2013-11-11,2,1,766,4.99
2013-11-12,2,69,19588,14.989999999999998
2013-11-13,3,2,1847,8.656666666666666
2013-11-14,2,5,5180,6.49
2013-11-15,6,316,26241,15.573333333333332
2013-11-18,3,1,347,6.989999999999999
2013-11-19,4,924,72549,9.24
2013-11-20,3,21,3472,4.41
2013-11-21,3,2,1786,2.4566666666666666
2013-11-22,3,0,1382,1.01
2013-11-25,1,6,5147,0.0
2013-11-26,1,0,81,0.0
2013-11-27,2,1,1072,3.79
2013-11-28,1,0,439,4.99
2013-12-03,8,9,4456,7.61625
2013-12-04,4,7,12029,10.14
2013-12-05,9,1057,63533,10.870000000000001
2013-12-06,5,3,4087,6.540000000000001
2013-12-09,2,6,6667,7.49
2013-12-10,3,0,2769,3.3266666666666667
2013-12-11,3,594,15197,11.49
2013-12-12,5,212,11631,7.390000000000001
2013-12-13,7,17063,382429,8.905714285714286
2013-12-16,2,33,20355,2.495
2013-12-17,3,199,33547,6.5633333333333335
2013-12-19,1,0,536,0.99
2014-01-03,5,2,2231,6.390000000000001
2014-01-06,4,224,26661,2.845
2014-01-08,3,0,3622,3.3266666666666667
2014-01-09,1,242,83293,29.99
2014-01-10,6,5,1785,4.79
2014-01-13,1,6,7685,3.49
2014-01-14,2,24,15593,12.495
2014-01-15,2,8,3574,19.99
2014-01-16,4,6,2021,3.4775
2014-01-20,1,0,767,9.99
2014-01-21,2,10,3165,4.44
2014-01-22,4,164,129547,7.4925
2014-01-23,4,36,5416,2.865
2014-01-24,2,2,5307,4.99
2014-01-27,3,16,3044,7.656666666666666
2014-01-28,4,8,10689,7.9925
2014-01-29,4,370,45160,7.1775
2014-01-30,5,23,17620,5.742
2014-01-31,5,2,42021,5.5920000000000005
2014-02-03,3,48,11403,5.323333333333333
2014-02-04,2,12,2551,7.495
2014-02-05,7,11,7144,10.698571428571428
2014-02-06,6,9,5241,9.14
2014-02-07,7,35,15220,8.704285714285714
2014-02-10,1,0,5694,4.99
2014-02-11,4,4,1615,11.739999999999998
2014-02-13,9,17,9407,4.447777777777778
2014-02-14,8,38,35270,7.49125
2014-02-17,5,31,2146,9.39
2014-02-18,6,20321,125151,13.99
2014-02-19,6,40,13845,10.156666666666666
2014-02-20,4,0,1402,5.685
2014-02-21,5,1,5551,7.992
2014-02-24,3,8,3795,3.6566666666666667
2014-02-25,7,144,22182,11.85
2014-02-26,1,0,126,3.99
2014-02-27,5,787,109157,12.389999999999999
2014-02-28,3,13,4634,4.323333333333333
2014-03-03,3,283,87447,11.156666666666666
2014-03-04,2,2,1339,9.99
2014-03-05,4,0,1434,1.2425
2014-03-06,8,10,9503,4.42875
2014-03-07,3,0,1102,3.9933333333333336
2014-03-10,4,22,7399,7.24
2014-03-11,8,20,7657,4.08375
2014-03-12,5,238,7368,3.344
2014-03-13,6,1,1306,3.598333333333334
2014-03-14,5,15,3993,3.9520000000000004
2014-03-17,6,12,16131,6.8566666666666665
2014-03-18,4,3,5053,2.015
2014-03-19,4,1,2667,4.115
2014-03-20,6,13,4412,9.991666666666667
2014-03-21,4,17,3599,10.92
2014-03-24,3,1,4325,6.66
2014-03-25,6,107,35199,17.18166666666667
2014-03-26,1,0,114,1.99
2014-03-27,9,149,8098,9.213333333333333
2014-03-28,8,9,4282,5.49125
2014-03-31,2,165,16363,14.995
2014-04-01,6,81,74905,8.523333333333333
2014-04-02,3,4,1592,3.8233333333333337
2014-04-03,10,10,4653,4.66
2014-04-04,6,13,8915,6.906666666666666
2014-04-07,2,0,414,6.24
2014-04-08,4,0,778,7.4799999999999995
2014-04-09,2,0,483,4.995
2014-04-10,6,92,11604,7.656666666666666
2014-04-11,7,36,4236,4.065714285714286
2014-04-14,1,0,442,0.99
2014-04-15,7,3,1706,6.112857142857143
2014-04-16,11,31,5281,6.585454545454545
2014-04-17,18,516,36710,7.813333333333334
2014-04-18,10,34,8662,7.159999999999999
2014-04-22,5,0,859,6.392
2014-04-23,10,14,2762,4.85
2014-04-24,13,31,12005,5.970769230769231
2014-04-25,9,207,60460,7.636666666666667
2014-04-28,3,3,525,2.6566666666666667
2014-04-29,6,30,15490,6.123333333333334
2014-04-30,7,3,2134,6.348571428571428
2014-05-01,14,25,14373,5.3342857142857145
2014-05-02,4,1,5184,7.177499999999999
2014-05-05,29,24,6778,3.509310344827586
2014-05-06,6,18,8437,5.825
2014-05-07,3,1,5083,9.326666666666666
2014-05-08,11,816,44704,9.078181818181818
2014-05-09,6,55,42269,5.951666666666667
2014-05-12,6,5,4213,3.8250000000000006
2014-05-13,2,242,13710,24.995
2014-05-15,16,839,126212,8.503125
2014-05-16,14,254,49909,3.608571428571429
2014-05-19,3,421,57143,4.66
2014-05-20,5,47,34496,6.5920000000000005
2014-05-21,11,453,45441,6.928181818181819
2014-05-22,11,13,3398,4.14
2014-05-23,8,118,27443,10.36
2014-05-26,2,417,52346,15.989999999999998
2014-05-27,1,48,3314,15.99
2014-05-28,5,9,30101,9.190000000000001
2014-05-29,11,39,9805,7.199090909090909
2014-05-30,17,42,12964,8.027058823529412
2014-06-03,6,432,62900,6.991666666666667
2014-06-04,5,6,15813,2.5940000000000003
2014-06-05,7,7,3537,5.704285714285715
2014-06-06,28,49,15658,5.798928571428571
2014-06-07,1,2,8549,0.49
2014-06-09,4,13,8534,7.005
2014-06-10,5,5,8395,5.709999999999999
2014-06-11,4,20,3489,8.4925
2014-06-12,12,533,17025,8.823333333333332
2014-06-13,8,107,7267,7.8025
2014-06-16,13,56,9931,8.865384615384615
2014-06-17,4,3,2629,8.49
2014-06-18,2,3,371,3.995
2014-06-19,1,1,277,9.99
2014-06-20,2,1,585,0.495
2014-06-23,2,0,800,12.99
2014-06-25,2,34,26818,17.49
2014-06-26,2,84,24790,19.995
2014-06-27,1,82,27117,29.99
2014-06-30,3,15,13491,15.156666666666666
2014-07-01,10,271,84837,4.391
2014-07-02,4,407,11534,5.4925
2014-07-03,12,31,7109,7.786666666666666
2014-07-04,5,11,2285,5.590000000000001
2014-07-07,6,7,3345,5.741666666666667
2014-07-08,3,31,7067,14.99
2014-07-09,8,9,12996,6.05375
2014-07-10,6,2,4716,5.6816666666666675
2014-07-11,9,0,978,6.767777777777778
2014-07-14,9,10,4588,3.3822222222222225
2014-07-15,10,17,5766,6.311
2014-07-16,9,19,10221,4.4944444444444445
2014-07-17,9,8,3193,3.6744444444444446
2014-07-18,9,5,1729,5.7844444444444445
2014-07-21,4,6,5629,8.115
2014-07-22,5,9,5262,6.194
2014-07-23,3,1,314,6.8566666666666665
2014-07-24,4,3,4245,7.24
2014-07-25,10,30,23012,9.825
2014-07-28,3,42,30487,9.99
2014-07-29,2,70,17256,12.489999999999998
2014-07-30,3,2,2701,3.66
2014-07-31,8,11,12151,7.5525
2014-08-01,5,3,2452,6.2540000000000004
2014-08-02,1,0,337,9.99
2014-08-04,3,0,2598,1.9933333333333334
2014-08-05,7,24,25510,5.991428571428571
2014-08-06,5,20,8077,4.794
2014-08-07,4,672,29583,14.4925
2014-08-08,10,8,2011,8.491
2014-08-11,5,2,4398,3.1740000000000004
2014-08-12,2,46,6174,12.49
2014-08-13,2,22,4408,4.995
2014-08-14,1,1,4829,3.99
2014-08-15,10,15,3790,4.132
2014-08-18,5,43,19796,5.5920000000000005
2014-08-19,5,228,57494,4.992
2014-08-20,2,1,1034,7.24
2014-08-21,7,85,11609,12.312857142857142
2014-08-22,9,14,2560,4.618888888888889
2014-08-25,7,1529,183499,10.848571428571429
2014-08-26,5,3,3935,6.792
2014-08-27,3,21,6701,8.99
2014-08-28,1,0,44,5.99
2014-08-29,6,12,18014,12.431666666666667
2014-09-01,2,201,4462,2.495
2014-09-02,1,0,503,4.99
2014-09-03,2,8,2509,4.995
2014-09-04,4,15,11390,9.24
2014-09-05,6,167,24341,10.991666666666667
2014-09-08,1,0,641,5.99
2014-09-09,3,8,1659,9.450000000000001
2014-09-10,1,0,3995,0.0
2014-09-11,2,1,739,14.99
2014-09-12,9,131,21803,8.855555555555556
2014-09-15,11,21,14064,7.3554545454545455
2014-09-16,8,116,6762,3.3912500000000003
2014-09-17,9,349,19757,10.312222222222223
2014-09-18,9,478,45887,11.152222222222223
2014-09-19,7,1,3891,6.082857142857143
2014-09-22,4,219,17852,14.4275
2014-09-23,9,87,16151,9.213333333333333
2014-09-24,2,0,500,17.49
2014-09-25,6,9,10066,7.489999999999999
2014-09-26,4,7,8152,11.43
2014-09-29,7,26,13301,10.848571428571429
2014-09-30,3,0,865,5.656666666666666
2014-10-01,3,0,1486,7.656666666666666
2014-10-02,5,11,5040,8.790000000000001
2014-10-03,3,1,462,5.993333333333333
2014-10-06,20,327,79305,13.84
2014-10-07,4,410,54617,9.9925
2014-10-08,3,524,69179,2.66
2014-10-09,7,423,20275,8.704285714285714
2014-10-10,6,88,42380,8.24
2014-10-13,4,650,74024,8.4925
2014-10-14,4,10,1817,5.74
2014-10-15,6,52,6220,5.501666666666666
2014-10-16,8,35,8104,4.8687499999999995
2014-10-17,10,54,5439,6.481999999999999
2014-10-20,4,20,12926,10.24
2014-10-21,4,2,3254,12.615
2014-10-22,8,180,10007,5.16375
2014-10-23,13,294,42277,8.394615384615385
2014-10-24,7,2,4272,9.992857142857144
2014-10-27,6,63,18886,6.325
2014-10-28,8,58,25035,7.99125
2014-10-29,2,5,1309,8.99
2014-10-30,12,145,21938,6.989999999999999
2014-10-31,2,1,760,14.995
2014-11-03,2,76,57722,39.99
2014-11-04,5,14907,344156,6.890000000000001
2014-11-05,3,15,1969,8.326666666666666
2014-11-06,6,8,1421,5.161666666666666
2014-11-07,11,8,12865,6.826363636363637
2014-11-10,4,36,24077,6.74
2014-11-11,9,489,102335,11.547777777777776
2014-11-12,5,9,3431,4.492
2014-11-13,4,4,1688,4.515000000000001
2014-11-14,11,786,106607,8.01
2014-11-17,1,0,967,19.99
2014-11-18,9,27,19238,5.934444444444445
2014-11-19,6,483,88619,4.793333333333334
2014-11-20,10,2007,13166,9.892999999999999
2014-11-21,10,70,15613,11.842
2014-11-24,7,319,23138,10.418571428571429
2014-11-25,7,40,21574,6.357142857142857
2014-11-26,6,35,3349,8.625
2014-11-27,3,3,2157,8.326666666666666
2014-11-28,5,3,1569,4.194
2014-12-01,2,11,17147,0.245
2014-12-02,3,2,12108,4.326666666666667
2014-12-03,7,70,7364,9.134285714285713
2014-12-04,19,111,15934,7.4126315789473685
2014-12-05,7,6,2159,5.214285714285714
2014-12-08,6,4,7264,7.156666666666666
2014-12-09,6,3,2447,4.658333333333334
2014-12-10,6,0,647,6.965
2014-12-11,11,177,45658,7.082727272727272
2014-12-12,4,2,2401,8.2425
2014-12-15,7,171,62005,10.061428571428573
2014-12-16,9,113,4895,10.656666666666666
2014-12-17,4,6,4103,5.49
2014-12-18,7,535,44615,7.994285714285714
2014-12-19,5,8968,179132,5.395999999999999
2014-12-22,5,27862,434093,3.592
2014-12-23,4,3,1288,2.4925
2014-12-24,2,443,1887,14.995
2014-12-29,2,34,26974,5.49
2014-12-31,2,0,173,0.495
2015-01-01,1,0,157,14.99
2015-01-02,5,0,367,5.390000000000001
2015-01-05,3,1,341,1.7566666666666668
2015-01-06,2,1,780,2.495
2015-01-07,4,5,1821,3.495
2015-01-08,8,3,8004,9.87125
2015-01-09,8,4,1836,5.54125
2015-01-12,8,357,6309,5.42875
2015-01-13,4,1,1036,4.365
2015-01-14,2,3,344,10.489999999999998
2015-01-15,10,5,81840,4.585
2015-01-16,9,3,5136,6.104444444444444
2015-01-19,4,482,68747,9.2425
2015-01-20,9,16,13514,4.104444444444444
2015-01-21,4,1,1485,9.6775
2015-01-22,8,3,5254,4.31875
2015-01-23,10,268,54853,11.370000000000001
2015-01-26,13,4978,474360,5.773076923076923
2015-01-27,1,0,86,9.99
2015-01-28,7,1228,38371,3.6714285714285717
2015-01-29,12,317,185896,7.075833333333333
2015-01-30,12,1302,37199,4.863333333333333
2015-02-02,10,13,5534,4.340000000000001
2015-02-03,6,8,6444,6.156666666666666
2015-02-04,11,36,9033,6.844545454545455
2015-02-05,5,16,5260,3.3939999999999997
2015-02-06,12,51,13275,5.824166666666667
2015-02-09,4,1,1111,1.105
2015-02-10,3,12,49049,5.993333333333333
2015-02-11,2,4,655,7.865
2015-02-12,7,0,1190,8.92
2015-02-13,14,49,23312,4.302142857142857
2015-02-16,2,3,801,0.69
2015-02-17,4,1434,47113,18.990000000000002
2015-02-18,2,0,297,2.99
2015-02-19,11,47,18684,11.57
2015-02-20,6,18,9131,6.785
2015-02-23,5,1,2303,5.470000000000001
2015-02-24,14,159,35349,14.418571428571427
2015-02-25,10,106,21545,11.051
2015-02-26,6,110,23750,19.573333333333334
2015-02-27,17,105,12022,6.233529411764706
2015-03-02,8,30,14385,4.805
2015-03-03,5,1,1438,5.0920000000000005
2015-03-04,6,18,4555,2.9116666666666666
2015-03-05,8,5,14008,9.866249999999999
2015-03-06,4,92,19220,14.365000000000002
2015-03-09,4,163,24605,8.99
2015-03-10,6,9451,400244,9.158333333333333
2015-03-11,5,297,35591,6.09
2015-03-12,8,581,21561,6.835
2015-03-13,9,16,4484,5.002222222222223
2015-03-15,1,45,14408,0.0
2015-03-16,4,0,282,2.24
2015-03-17,7,25,5297,5.704285714285715
2015-03-18,5,4,2619,4.99
2015-03-19,7,408,1496,7.991428571428571
2015-03-20,3,0,631,1.8233333333333335
2015-03-23,5,5,3744,5.394
2015-03-24,7,28,2799,9.885714285714286
2015-03-25,14,14,4266,5.105714285714286
2015-03-26,12,233,41809,6.534166666666667
2015-03-27,11,9,5667,10.012727272727274
2015-03-30,8,1148,72554,4.8675
2015-03-31,4,13,6099,6.9925
2015-04-01,12,1740,132524,5.786666666666666
2015-04-02,12,5072,153754,9.789166666666667
2015-04-03,6,35,11596,11.315
2015-04-06,4,5,1766,8.24
2015-04-07,5,0,887,6.99
2015-04-08,2,26,4510,6.495
2015-04-09,9,12,8925,7.88
2015-04-10,9,4,3897,5.545555555555556
2015-04-13,3,68277,2046834,12.326666666666666
2015-04-14,4,23,13915,6.49
2015-04-15,4,0,1254,3.24
2015-04-16,10,9,8242,5.852
2015-04-17,7,9,935,4.437142857142858
2015-04-20,9,5,1200,2.4877777777777776
2015-04-21,5,8,5396,7.390000000000001
2015-04-22,9,40,5001,5.657777777777778
2015-04-23,15,154,45589,7.99
2015-04-24,9,35,12013,9.43
2015-04-27,10,1943,142134,11.791
2015-04-28,12,82,42944,9.2425
2015-04-29,9,90,15829,6.656666666666667
2015-04-30,13,283,33427,5.5307692307692315
2015-05-01,10,174,10919,6.7909999999999995
2015-05-04,7,163,23462,2.565714285714286
2015-05-05,6,8,1147,3.9933333333333336
2015-05-06,6,0,2063,5.54
2015-05-07,6,3,3785,8.673333333333334
2015-05-08,11,0,2350,4.337272727272727
2015-05-11,14,144,7102,7.363571428571428
2015-05-12,10,23,14720,7.5920000000000005
2015-05-13,4,2020,61631,2.62
2015-05-14,9,261,24734,9.99111111111111
2015-05-15,10,27,6418,3.793
2015-05-18,5,15907,837776,12.392
2015-05-19,3,7,12078,6.66
2015-05-20,5,13,5724,6.151999999999999
2015-05-21,13,0,8360,4.914615384615384
2015-05-22,12,52,10814,6.159166666666667
2015-05-25,9,29,13198,2.75
2015-05-26,12,148,34761,8.094166666666666
2015-05-27,3,1,1163,2.1933333333333334
2015-05-28,19,75,8906,8.44421052631579
2015-05-29,16,15923,340388,9.036875
2015-05-30,1,46,7937,9.99
2015-06-01,14,132,29775,5.680714285714286
2015-06-02,5,8,18954,4.312
2015-06-03,7,1,3363,4.135714285714286
2015-06-04,14,128,50055,6.340714285714285
2015-06-05,13,5039,78004,7.497692307692308
2015-06-08,10,8,1339,4.390000000000001
2015-06-09,6,3,7471,9.491666666666665
2015-06-10,2,0,299,0.0
2015-06-11,6,96,10508,8.773333333333333
2015-06-15,1,0,174,4.99
2015-06-16,1,4,115,4.99
2015-06-17,1,2,212,0.0
2015-06-18,2,10,12349,2.495
2015-06-19,1,2,51,19.99
2015-06-22,6,0,2073,3.4233333333333333
2015-06-23,9,2208,173125,11.657777777777778
2015-06-24,7,17,11026,4.277142857142858
2015-06-25,18,405,13638,11.990555555555556
2015-06-26,11,18,7463,3.847272727272727
2015-06-29,5,2,820,3.3939999999999997
2015-06-30,10,30,7773,6.779999999999999
2015-07-01,6,1,904,6.456666666666667
2015-07-02,9,23,12191,8.14111111111111
2015-07-03,6,35,2467,2.216666666666667
2015-07-06,7,2,10398,3.635714285714286
2015-07-07,12,21108,586741,3.6816666666666666
2015-07-08,11,9,4420,3.391818181818182
2015-07-09,12,799,106114,7.159999999999999
2015-07-10,12,8,5369,4.6875
2015-07-13,4,72,19909,5.2425
2015-07-14,4,11,3023,9.74
2015-07-15,8,426,12553,10.365
2015-07-16,13,16,4518,5.863846153846154
2015-07-17,12,95,8077,4.3475
2015-07-20,9,22,6315,2.4944444444444445
2015-07-21,5,2,1110,7.69
2015-07-22,6,2868,5474,4.406666666666667
2015-07-23,12,249,23819,7.575833333333333
2015-07-24,11,20,9257,8.631818181818183
2015-07-27,4,0,265,5.2425
2015-07-28,11,100,29562,7.677272727272728
2015-07-29,8,140,53555,4.86875
2015-07-30,13,0,2619,2.3153846153846156
2015-07-31,11,4,4308,4.5
2015-08-03,10,5,11219,4.042
2015-08-04,9,3,3527,3.5477777777777777
2015-08-05,8,1168,35862,5.703749999999999
2015-08-06,4,0,547,3.8025
2015-08-07,7,2,1915,3.2614285714285716
2015-08-10,8,3,7826,4.7425
2015-08-11,5,2,4997,4.994
2015-08-12,7,42,26399,4.848571428571428
2015-08-13,7,203,3885,9.848571428571429
2015-08-14,14,39,5995,4.127142857142857
2015-08-17,4,20,17799,6.74
2015-08-18,13,173,32134,8.79
2015-08-19,11,111,12050,4.176363636363636
2015-08-20,11,39,15869,6.826363636363637
2015-08-21,13,7,3724,5.374615384615385
2015-08-24,13,404,39981,6.1692307692307695
2015-08-25,13,63,21593,7.952307692307692
2015-08-26,9,9,4884,2.218888888888889
2015-08-27,14,145,40671,10.098571428571429
2015-08-28,12,11,6166,5.790833333333334
2015-08-31,14,9,7244,2.8892857142857147
2015-09-01,9,1970,200298,16.582222222222224
2015-09-02,11,39,18142,6.764545454545455
2015-09-03,13,9,2499,4.690769230769231
2015-09-04,8,6,5196,3.0025000000000004
2015-09-07,6,0,524,4.49
2015-09-08,5,1856,124901,7.394
2015-09-09,5,7,4306,7.390000000000001
2015-09-10,5,2,2883,5.540000000000001
2015-09-11,9,18,8298,4.1033333333333335
2015-09-14,4,0,712,5.7425
2015-09-15,9,3354,280914,6.135555555555555
2015-09-16,8,12,5901,5.67875
2015-09-17,14,537,39042,7.6692857142857145
2015-09-18,10,10,12874,5.55
2015-09-21,7,69,47581,11.561428571428573
2015-09-22,9,86,10932,6.547777777777778
2015-09-23,15,8,5023,4.952
2015-09-24,17,53,26292,5.7700000000000005
2015-09-25,17,14,6772,4.050000000000001
2015-09-28,7,3,3507,6.6899999999999995
2015-09-29,13,270,27256,11.262307692307692
2015-09-30,14,6,4368,4.067857142857143
2015-10-01,12,40,28708,7.47
2015-10-02,9,13,10822,2.854444444444445
2015-10-05,5,2,1721,7.142
2015-10-06,6,858,79693,10.89
2015-10-07,4,0,911,3.3675
2015-10-08,7,163,18160,5.741428571428571
2015-10-09,10,4,2735,3.5200000000000005
2015-10-12,7,1,1110,5.878571428571428
2015-10-13,11,500,45741,6.994545454545454
2015-10-14,6,24,4963,10.158333333333333
2015-10-15,12,511,83489,6.034166666666667
2015-10-16,16,51,34355,6.60125
2015-10-19,9,38,11885,6.989999999999999
2015-10-20,8,40,14272,12.615
2015-10-21,16,208,40082,5.789375
2015-10-22,7,6,3985,7.134285714285714
2015-10-23,16,199,50549,7.3875
2015-10-26,8,5,2121,4.3725000000000005
2015-10-27,7,389,33774,12.562857142857142
2015-10-28,8,39,4428,3.8675
2015-10-29,9,88,10292,8.862222222222222
2015-10-30,7,171,10956,7.277142857142857
2015-11-01,1,89,22198,9.99
2015-11-02,13,78,16525,9.3
2015-11-03,7,13,4533,9.491428571428571
2015-11-04,6,6,2452,4.358333333333333
2015-11-05,11,5502,236431,15.63
2015-11-06,12,149,23798,7.802500000000001
2015-11-09,11,11200,401699,6.083636363636364
2015-11-10,4,2,2218,5.9925
2015-11-11,5,83,3622,15.190000000000001
2015-11-12,9,254,16827,11.102222222222222
2015-11-13,7,6,2074,4.061428571428571
2015-11-16,7,26,3090,9.704285714285714
2015-11-17,9,193,14377,4.253333333333334
2015-11-18,11,188,36916,9.786363636363635
2015-11-19,8,112,8848,8.366249999999999
2015-11-20,20,133,48893,5.354
2015-11-23,10,62,14406,9.59
2015-11-24,8,9,4715,4.93125
2015-11-25,2,1,479,3.49
2015-11-26,2,0,102,0.495
2015-11-27,2,0,157,2.495
2015-11-30,8,650,132460,2.87
2015-12-01,6,57901,1495110,13.323333333333332
2015-12-02,10,15,5263,4.323
2015-12-03,14,148,6627,6.784285714285715
2015-12-04,11,8,15181,3.082727272727273
2015-12-05,1,103,17979,11.99
2015-12-06,1,3,226,0.0
2015-12-07,11,384,76604,7.343636363636364
2015-12-08,8,19,16325,4.97875
